metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
credit_to_start_latency_p75,1.43,0.00,1.43,1.43,0.0011,0.0011,1.41,1.44,12.7062,ms
output_sequence_length_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_first_token_p1,206.25,4.70,202.93,209.57,0.0228,3.3212,164.05,248.45,12.7062,ms
time_to_first_token_min,205.53,4.09,202.63,208.42,0.0199,2.8950,168.74,242.31,12.7062,ms
http_req_duration_std,19.46,15.23,8.69,30.23,0.7827,10.7694,-117.38,156.30,12.7062,ms
effective_decode_concurrency_p50,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
effective_decode_throughput_per_user_p99,259.60,0.21,259.46,259.75,0.0008,0.1450,257.76,261.44,12.7062,tokens/sec/user
total_token_throughput_avg,2615.42,6.29,2610.97,2619.87,0.0024,4.4465,2558.92,2671.92,12.7062,tokens/sec
osl_mismatch_diff_pct_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
decode_duration_p1,2129.59,0.44,2129.27,2129.90,0.0002,0.3116,2125.63,2133.55,12.7062,ms
inter_chunk_latency_min,0.62,0.13,0.53,0.72,0.2087,0.0922,-0.55,1.80,12.7062,ms
effective_concurrency_p99,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
prefill_throughput_per_user_sum,2471306.37,64364.02,2425794.13,2516818.61,0.0260,45512.2368,1893018.57,3049594.17,12.7062,tokens/sec/user
http_req_connection_reused_p5,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_connection_overhead_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_reasoning_tokens_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_waiting_p75,213.57,6.55,208.93,218.20,0.0307,4.6342,154.68,272.45,12.7062,ms
http_req_duration_p5,2346.59,8.79,2340.37,2352.80,0.0037,6.2119,2267.66,2425.52,12.7062,ms
e2e_output_token_throughput_std,1.64,1.20,0.79,2.49,0.7308,0.8493,-9.15,12.43,12.7062,tokens/sec/user
http_req_chunks_sent_p50,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
time_to_second_token_p25,1.17,0.05,1.14,1.21,0.0405,0.0336,0.75,1.60,12.7062,ms
usage_completion_tokens_avg,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
prefill_throughput_per_user_p90,4953.96,134.58,4858.80,5049.12,0.0272,95.1593,3744.84,6163.07,12.7062,tokens/sec/user
credit_to_start_latency_p50,1.40,0.00,1.40,1.40,0.0010,0.0010,1.38,1.41,12.7062,ms
http_req_blocked_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_reasoning_tokens_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
decode_duration_p99,2169.07,3.56,2166.55,2171.59,0.0016,2.5200,2137.05,2201.09,12.7062,ms
tokens_in_flight_std,648.82,0.49,648.47,649.17,0.0008,0.3478,644.40,653.24,12.7062,tokens
e2e_output_token_throughput_p5,215.34,0.36,215.08,215.59,0.0017,0.2561,212.08,218.59,12.7062,tokens/sec/user
effective_prefill_concurrency_p99,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
output_sequence_length_p75,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_first_output_token_p10,209.22,5.70,205.18,213.25,0.0272,4.0307,158.00,260.43,12.7062,ms
http_req_chunks_received_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
effective_decode_throughput_per_user_p95,250.35,0.05,250.31,250.38,0.0002,0.0359,249.89,250.80,12.7062,tokens/sec/user
usage_prompt_tokens_p25,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
osl_mismatch_diff_pct_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_connecting_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_max,2535.41,204.06,2391.12,2679.70,0.0805,144.2889,702.04,4368.77,12.7062,ms
output_token_count_p5,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_waiting_p50,212.33,6.89,207.46,217.21,0.0324,4.8721,150.43,274.24,12.7062,ms
active_decode_throughput_p50,948.19,0.51,947.83,948.55,0.0005,0.3588,943.63,952.75,12.7062,tokens/sec
active_decode_throughput_per_user_p50,237.08,0.12,237.00,237.17,0.0005,0.0880,235.97,238.20,12.7062,tokens/sec/user
http_req_data_sent_avg,4.59,0.00,4.59,4.59,0.0000,0.0000,4.59,4.59,12.7062,KB
inter_chunk_latency_p25,4.12,0.00,4.12,4.12,0.0003,0.0009,4.11,4.13,12.7062,ms
http_req_dns_lookup_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
e2e_output_token_throughput_max,219.05,1.16,218.23,219.87,0.0053,0.8212,208.61,229.48,12.7062,tokens/sec/user
http_req_connecting_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_sequence_length_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
decode_duration_p95,2163.53,0.77,2162.99,2164.08,0.0004,0.5412,2156.66,2170.41,12.7062,ms
effective_latency_p10,2352.21,9.43,2345.54,2358.88,0.0040,6.6666,2267.50,2436.92,12.7062,ms
usage_reasoning_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_throughput_per_user_avg,237.60,0.14,237.50,237.69,0.0006,0.0970,236.36,238.83,12.7062,tokens/sec/user
usage_total_tokens_p25,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
osl_mismatch_diff_pct_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
tokens_in_flight_max,6191.00,0.00,6191.00,6191.00,0.0000,0.0000,6191.00,6191.00,12.7062,tokens
effective_prefill_concurrency_p95,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
usage_completion_tokens_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_sending_std,0.16,0.00,0.16,0.16,0.0166,0.0018,0.13,0.18,12.7062,ms
reasoning_token_count_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
prefill_throughput_per_user_p5,4736.54,68.60,4688.03,4785.05,0.0145,48.5102,4120.16,5352.92,12.7062,tokens/sec/user
http_req_blocked_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_decode_throughput_per_user_p90,247.78,0.18,247.65,247.90,0.0007,0.1242,246.20,249.35,12.7062,tokens/sec/user
http_req_dns_lookup_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
osl_mismatch_diff_pct_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_connection_overhead_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_concurrency_avg,3.99,0.00,3.99,3.99,0.0000,0.0000,3.99,4.00,12.7062,requests
nvidia_total_gpu_energy_avg,159657.86,434.82,159350.39,159965.33,0.0027,307.4675,155751.12,163564.61,12.7062,J
http_req_receiving_p95,2163.54,0.77,2163.00,2164.08,0.0004,0.5414,2156.66,2170.42,12.7062,ms
nvidia_output_tokens_per_joule_avg,1.63,0.00,1.63,1.63,0.0027,0.0031,1.59,1.67,12.7062,tokens/J
decode_duration_sum,1092579.34,625.21,1092137.25,1093021.43,0.0006,442.0905,1086962.04,1098196.63,12.7062,ms
effective_decode_throughput_p99,1035.96,2.02,1034.54,1037.39,0.0019,1.4251,1017.86,1054.07,12.7062,tokens/sec
active_decode_throughput_per_user_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
http_req_connecting_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_data_sent_p10,4.40,0.00,4.40,4.40,0.0000,0.0000,4.40,4.40,12.7062,KB
time_to_first_token_avg,213.83,4.50,210.65,217.01,0.0210,3.1822,173.40,254.26,12.7062,ms
decode_duration_p90,2161.51,0.61,2161.08,2161.95,0.0003,0.4312,2156.03,2166.99,12.7062,ms
usage_reasoning_tokens_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
inter_chunk_latency_avg,4.21,0.00,4.21,4.21,0.0005,0.0015,4.19,4.23,12.7062,ms
usage_prompt_cache_read_tokens_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_sending_max,1.93,0.01,1.92,1.93,0.0033,0.0045,1.87,1.98,12.7062,ms
http_req_chunks_sent_p25,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
output_token_throughput_per_user_p10,236.41,0.07,236.36,236.46,0.0003,0.0472,235.81,237.01,12.7062,tokens/sec/user
usage_reasoning_tokens_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_dns_lookup_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
credit_to_start_latency_p25,1.36,0.00,1.36,1.36,0.0020,0.0020,1.34,1.39,12.7062,ms
effective_decode_throughput_per_user_std,71.20,0.86,70.59,71.80,0.0120,0.6057,63.50,78.89,12.7062,tokens/sec/user
time_to_second_token_p10,1.07,0.10,1.00,1.14,0.0955,0.0721,0.15,1.98,12.7062,ms
http_req_receiving_sum,1092590.14,611.94,1092157.43,1093022.84,0.0006,432.7038,1087092.11,1098088.16,12.7062,ms
http_req_sending_p75,0.09,0.00,0.09,0.09,0.0018,0.0001,0.09,0.09,12.7062,ms
osl_mismatch_diff_pct_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
total_usage_completion_tokens_avg,260096.00,0.00,260096.00,260096.00,0.0000,0.0000,260096.00,260096.00,12.7062,tokens
usage_prompt_cache_read_tokens_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_connection_reused_p1,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_duration_p1,2341.04,7.99,2335.39,2346.69,0.0034,5.6492,2269.26,2412.82,12.7062,ms
http_req_blocked_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connecting_sum,6.25,0.10,6.18,6.32,0.0155,0.0686,5.38,7.12,12.7062,ms
effective_decode_throughput_p95,1001.11,0.33,1000.87,1001.34,0.0003,0.2321,998.16,1004.06,12.7062,tokens/sec
http_req_receiving_p90,2161.52,0.61,2161.09,2161.95,0.0003,0.4309,2156.04,2166.99,12.7062,ms
total_osl_avg,260096.00,0.00,260096.00,260096.00,0.0000,0.0000,260096.00,260096.00,12.7062,tokens
request_latency_sum,1201204.65,2911.37,1199145.99,1203263.30,0.0024,2058.6523,1175046.99,1227362.30,12.7062,ms
http_req_waiting_p25,210.75,7.08,205.74,215.75,0.0336,5.0044,147.16,274.33,12.7062,ms
http_req_connecting_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_data_sent_p75,4.69,0.00,4.69,4.69,0.0000,0.0000,4.69,4.69,12.7062,KB
e2e_output_token_throughput_p1,214.50,0.27,214.31,214.69,0.0013,0.1931,212.05,216.95,12.7062,tokens/sec/user
e2e_output_token_throughput_min,202.59,16.31,191.06,214.12,0.0805,11.5321,56.06,349.12,12.7062,tokens/sec/user
inter_token_latency_p95,4.23,0.00,4.23,4.23,0.0004,0.0011,4.22,4.25,12.7062,ms
http_req_connection_reused_p99,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
decode_duration_std,8.99,1.37,8.02,9.97,0.1528,0.9718,-3.35,21.34,12.7062,ms
usage_reasoning_tokens_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_duration_p99,2386.93,3.06,2384.77,2389.10,0.0013,2.1641,2359.44,2414.43,12.7062,ms
request_latency_p90,2375.44,4.41,2372.33,2378.56,0.0019,3.1155,2335.86,2415.03,12.7062,ms
time_to_first_token_p10,209.22,5.70,205.18,213.25,0.0272,4.0307,158.00,260.43,12.7062,ms
http_req_sending_p50,0.08,0.00,0.08,0.08,0.0040,0.0002,0.08,0.08,12.7062,ms
output_token_count_p1,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_sequence_length_p25,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
inter_chunk_latency_p10,4.03,0.00,4.02,4.03,0.0008,0.0022,4.00,4.05,12.7062,ms
effective_decode_throughput_per_user_max,1614.67,328.42,1382.44,1846.89,0.2034,232.2253,-1336.04,4565.37,12.7062,tokens/sec/user
osl_mismatch_diff_pct_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
active_prefill_throughput_p90,19808.99,539.46,19427.53,20190.45,0.0272,381.4593,14962.09,24655.89,12.7062,tokens/sec
usage_prompt_cache_read_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
e2e_output_token_throughput_p99,218.70,0.75,218.18,219.23,0.0034,0.5280,212.00,225.41,12.7062,tokens/sec/user
effective_prefill_throughput_per_user_p99,4952.18,134.78,4856.88,5047.49,0.0272,95.3022,3741.26,6163.11,12.7062,tokens/sec/user
usage_total_tokens_p10,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
http_req_data_sent_p50,4.58,0.00,4.58,4.58,0.0000,0.0000,4.58,4.58,12.7062,KB
active_total_throughput_p99,19804.52,545.08,19419.09,20189.95,0.0275,385.4313,14907.15,24701.89,12.7062,tokens/sec
effective_decode_throughput_p90,990.89,0.78,990.34,991.44,0.0008,0.5531,983.86,997.92,12.7062,tokens/sec
inter_token_latency_sum,2138.12,1.22,2137.25,2138.99,0.0006,0.8651,2127.13,2149.11,12.7062,ms
http_req_receiving_std,9.01,1.40,8.02,10.00,0.1550,0.9874,-3.54,21.56,12.7062,ms
tokens_in_flight_p99,6165.00,0.00,6165.00,6165.00,0.0000,0.0000,6165.00,6165.00,12.7062,tokens
http_req_connection_overhead_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_token_count_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_prompt_cache_read_tokens_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_connecting_std,0.14,0.00,0.14,0.14,0.0151,0.0015,0.12,0.16,12.7062,ms
http_req_connection_reused_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_duration_p95,2377.64,4.00,2374.81,2380.47,0.0017,2.8290,2341.70,2413.59,12.7062,ms
inter_token_latency_p90,4.23,0.00,4.23,4.23,0.0003,0.0008,4.22,4.24,12.7062,ms
nvidia_energy_per_output_token_avg,613.84,1.67,612.66,615.02,0.0027,1.1821,598.82,628.86,12.7062,mJ/token
decode_duration_max,2174.19,10.66,2166.65,2181.72,0.0049,7.5343,2078.45,2269.92,12.7062,ms
usage_prompt_tokens_p5,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_receiving_p5,2134.95,2.39,2133.25,2136.64,0.0011,1.6905,2113.47,2156.42,12.7062,ms
reasoning_token_count_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
prefill_throughput_per_user_p1,4593.50,32.42,4570.58,4616.42,0.0071,22.9225,4302.24,4884.76,12.7062,tokens/sec/user
time_to_first_token_p75,213.69,6.55,209.06,218.33,0.0307,4.6344,154.81,272.58,12.7062,ms
request_latency_std,19.46,15.23,8.69,30.23,0.7827,10.7686,-117.37,156.29,12.7062,ms
usage_reasoning_tokens_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
decode_duration_p75,2156.88,0.43,2156.58,2157.19,0.0002,0.3067,2152.99,2160.78,12.7062,ms
http_req_sending_min,0.07,0.00,0.07,0.07,0.0050,0.0002,0.06,0.07,12.7062,ms
active_decode_throughput_per_user_avg,237.61,0.14,237.51,237.71,0.0006,0.1025,236.31,238.91,12.7062,tokens/sec/user
http_req_dns_lookup_std,0.10,0.00,0.10,0.10,0.0123,0.0009,0.09,0.11,12.7062,ms
effective_prefill_throughput_per_user_p95,4872.27,154.24,4763.21,4981.33,0.0317,109.0619,3486.51,6258.03,12.7062,tokens/sec/user
usage_prompt_cache_read_tokens_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
request_latency_p5,2346.62,8.78,2340.41,2352.84,0.0037,6.2109,2267.71,2425.54,12.7062,ms
effective_concurrency_p50,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
http_req_total_p95,2377.64,4.00,2374.81,2380.47,0.0017,2.8290,2341.70,2413.59,12.7062,ms
active_total_throughput_p95,19478.57,615.99,19043.00,19914.14,0.0316,435.5688,13944.15,25013.00,12.7062,tokens/sec
request_count_avg,508.00,0.00,508.00,508.00,0.0000,0.0000,508.00,508.00,12.7062,requests
reasoning_token_count_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
prefill_throughput_per_user_p99,5024.34,114.52,4943.36,5105.32,0.0228,80.9785,3995.41,6053.27,12.7062,tokens/sec/user
http_req_connection_reused_sum,504.00,0.00,504.00,504.00,0.0000,0.0000,504.00,504.00,12.7062,ratio
nvidia_energy_per_request_avg,314.29,0.86,313.68,314.89,0.0027,0.6053,306.60,321.98,12.7062,joules/request
tokens_in_flight_p95,6076.75,0.36,6076.49,6077.00,0.0001,0.2527,6073.54,6079.96,12.7062,tokens
effective_decode_throughput_std,285.80,3.55,283.29,288.31,0.0124,2.5080,253.93,317.67,12.7062,tokens/sec
output_token_count_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_receiving_max,2174.20,10.68,2166.65,2181.75,0.0049,7.5497,2078.28,2270.13,12.7062,ms
time_to_first_token_p50,212.45,6.88,207.59,217.32,0.0324,4.8654,150.63,274.27,12.7062,ms
input_sequence_length_p5,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_connecting_max,1.63,0.00,1.63,1.63,0.0020,0.0023,1.60,1.66,12.7062,ms
http_req_connection_reused_p90,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
inter_token_latency_std,0.02,0.00,0.02,0.02,0.1528,0.0019,-0.01,0.04,12.7062,ms
http_req_connecting_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_concurrency_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
request_latency_max,2535.49,204.11,2391.16,2679.81,0.0805,144.3280,701.62,4369.35,12.7062,ms
http_req_total_sum,1201205.00,2898.09,1199155.74,1203254.26,0.0024,2049.2604,1175166.68,1227243.32,12.7062,ms
http_req_dns_lookup_max,1.18,0.00,1.18,1.19,0.0034,0.0029,1.15,1.22,12.7062,ms
inter_token_latency_p5,4.18,0.00,4.17,4.18,0.0011,0.0033,4.14,4.22,12.7062,ms
usage_reasoning_tokens_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_count_sum,260096.00,0.00,260096.00,260096.00,0.0000,0.0000,260096.00,260096.00,12.7062,tokens
effective_prefill_throughput_per_user_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
e2e_output_token_throughput_avg,216.55,0.55,216.16,216.93,0.0025,0.3856,211.65,221.45,12.7062,tokens/sec/user
http_req_sending_p25,0.08,0.00,0.08,0.08,0.0044,0.0002,0.07,0.08,12.7062,ms
reasoning_token_count_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
prefill_throughput_per_user_p95,4978.16,117.49,4895.08,5061.24,0.0236,83.0785,3922.54,6033.77,12.7062,tokens/sec/user
osl_mismatch_diff_pct_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_decode_throughput_per_user_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
http_req_dns_lookup_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_total_p90,2375.40,4.40,2372.29,2378.52,0.0019,3.1126,2335.85,2414.95,12.7062,ms
effective_decode_throughput_max,6458.67,1313.66,5529.77,7387.57,0.2034,928.9012,-5344.14,18261.48,12.7062,tokens/sec
total_usage_prompt_cache_read_tokens_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_count_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_connecting_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_chunks_sent_p5,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_connection_reused_std,0.09,0.00,0.09,0.09,0.0000,0.0000,0.09,0.09,12.7062,ratio
request_throughput_avg,1.69,0.00,1.69,1.69,0.0024,0.0029,1.65,1.73,12.7062,requests/sec
http_req_data_sent_p25,4.48,0.00,4.48,4.48,0.0000,0.0000,4.48,4.48,12.7062,KB
inter_token_latency_max,4.25,0.02,4.24,4.27,0.0049,0.0147,4.07,4.44,12.7062,ms
credit_to_start_latency_p5,1.32,0.01,1.31,1.32,0.0053,0.0049,1.25,1.38,12.7062,ms
decode_duration_min,2125.41,4.92,2121.93,2128.89,0.0023,3.4794,2081.20,2169.62,12.7062,ms
reasoning_token_count_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_prefill_concurrency_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
http_req_dns_lookup_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_token_throughput_per_user_p25,236.92,0.05,236.88,236.95,0.0002,0.0337,236.49,237.34,12.7062,tokens/sec/user
time_to_first_output_token_sum,108625.31,2286.16,107008.75,110241.87,0.0210,1616.5617,88084.94,129165.67,12.7062,ms
total_usage_prompt_tokens_avg,526338.00,0.00,526338.00,526338.00,0.0000,0.0000,526338.00,526338.00,12.7062,tokens
effective_latency_p95,2379.06,4.01,2376.23,2381.90,0.0017,2.8339,2343.05,2415.07,12.7062,ms
effective_prefill_throughput_per_user_std,1403.75,22.03,1388.18,1419.33,0.0157,15.5786,1205.81,1601.70,12.7062,tokens/sec/user
usage_completion_tokens_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_waiting_p5,208.07,4.88,204.61,211.52,0.0235,3.4520,164.20,251.93,12.7062,ms
reasoning_token_count_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_cache_read_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_total_std,19.57,15.39,8.69,30.45,0.7861,10.8804,-118.67,157.82,12.7062,ms
active_total_throughput_std,5274.26,87.85,5212.14,5336.38,0.0167,62.1209,4484.94,6063.58,12.7062,tokens/sec
time_to_first_output_token_p90,215.86,6.12,211.53,220.19,0.0283,4.3270,160.88,270.84,12.7062,ms
http_req_data_received_p5,125.93,0.05,125.90,125.97,0.0004,0.0331,125.51,126.36,12.7062,KB
effective_prefill_throughput_p95,19478.57,615.99,19043.00,19914.14,0.0316,435.5688,13944.15,25013.00,12.7062,tokens/sec
usage_reasoning_tokens_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_count_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_tokens_p1,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_receiving_p1,2129.59,0.43,2129.29,2129.90,0.0002,0.3065,2125.70,2133.49,12.7062,ms
http_req_sending_avg,0.10,0.00,0.10,0.10,0.0052,0.0004,0.09,0.10,12.7062,ms
time_to_second_token_p99,4.28,0.09,4.22,4.35,0.0206,0.0624,3.49,5.08,12.7062,ms
http_req_total_p5,2346.59,8.79,2340.37,2352.80,0.0037,6.2119,2267.66,2425.52,12.7062,ms
http_req_connection_reused_max,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
output_sequence_length_p5,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_connecting_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
nvidia_energy_per_total_token_avg,203.01,0.55,202.62,203.41,0.0027,0.3910,198.05,207.98,12.7062,mJ/token
effective_latency_sum,1201925.24,2899.11,1199875.26,1203975.22,0.0024,2049.9779,1175877.80,1227972.68,12.7062,ms
usage_prompt_cache_read_tokens_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
active_prefill_throughput_per_user_p99,5024.33,112.83,4944.55,5104.12,0.0225,79.7807,4010.63,6038.04,12.7062,tokens/sec/user
http_req_connection_reused_p75,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
time_to_first_token_p25,210.88,7.09,205.87,215.90,0.0336,5.0154,147.16,274.61,12.7062,ms
usage_completion_tokens_sum,260096.00,0.00,260096.00,260096.00,0.0000,0.0000,260096.00,260096.00,12.7062,tokens
effective_total_throughput_p99,19804.52,545.08,19419.09,20189.95,0.0275,385.4313,14907.15,24701.89,12.7062,tokens/sec
request_latency_p1,2341.08,7.99,2335.42,2346.73,0.0034,5.6517,2269.26,2412.89,12.7062,ms
http_req_duration_p75,2370.20,6.81,2365.39,2375.02,0.0029,4.8153,2309.02,2431.39,12.7062,ms
usage_prompt_tokens_p99,1037.00,0.00,1037.00,1037.00,0.0000,0.0000,1037.00,1037.00,12.7062,tokens
http_req_receiving_p99,2169.07,3.56,2166.55,2171.59,0.0016,2.5202,2137.05,2201.09,12.7062,ms
effective_latency_p90,2376.81,4.45,2373.66,2379.95,0.0019,3.1460,2336.83,2416.78,12.7062,ms
http_req_dns_lookup_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connection_overhead_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_throughput_per_user_max,5041.25,101.04,4969.80,5112.70,0.0200,71.4484,4133.41,5949.09,12.7062,tokens/sec/user
reasoning_token_count_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
prefill_throughput_per_user_std,168.42,151.00,61.65,275.20,0.8965,106.7716,-1188.24,1525.09,12.7062,tokens/sec/user
http_req_total_max,2536.76,205.97,2391.12,2682.40,0.0812,145.6416,686.21,4387.31,12.7062,ms
